Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1961","1961","kg","3.7","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1962","1962","kg","3.71","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1963","1963","kg","3.67","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1964","1964","kg","3.67","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1965","1965","kg","3.65","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1966","1966","kg","3.63","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1967","1967","kg","3.64","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1968","1968","kg","3.66","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1969","1969","kg","3.63","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1970","1970","kg","3.62","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1971","1971","kg","3.64","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1972","1972","kg","3.6","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1973","1973","kg","3.6","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1974","1974","kg","3.61","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1975","1975","kg","3.61","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1976","1976","kg","3.6","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1977","1977","kg","3.59","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1978","1978","kg","3.6","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1979","1979","kg","3.63","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1980","1980","kg","3.68","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1981","1981","kg","3.71","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1982","1982","kg","3.93","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1983","1983","kg","3.92","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1984","1984","kg","3.9","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1985","1985","kg","3.96","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1986","1986","kg","3.96","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1987","1987","kg","4.12","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1988","1988","kg","4.1","Fc","Calculated data"
"FBS","Food Balance Sheets","100","India","645","Food supply quantity (kg/capita/yr)","2943","Meat","1989","1989","kg","4.1","Fc","Calculated data"
